start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed
2018.2465753424656,2018.328767123288,0.0759,0.0577,49303.4,47389.3
2018.328767123288,2018.4136986301369,0.0928,0.0743,49303.4,47389.3
2018.4136986301369,2018.495890410959,0.0596,0.168,49303.4,47389.3
2018.495890410959,2018.580821917808,-0.2946,0.1881,49303.4,47389.3
2018.580821917808,2018.6657534246576,-0.4697,0.2063,49303.4,47389.3
2018.6657534246576,2018.74794520548,0.0415,0.2148,49303.4,47389.3
2018.74794520548,2018.8328767123287,0.0714,0.081,49303.4,47148.2
2018.8328767123287,2018.9150684931508,0.0587,0.0751,49303.4,47148.2
2018.9150684931508,2019.0,0.03,0.0336,49303.4,47148.2
2019.0,2019.0849315068488,0.0447,0.0649,49303.4,47148.2
2019.0849315068488,2019.1616438356164,0.0526,0.0624,49303.4,47148.2
2019.1616438356164,2019.2465753424656,0.0462,0.0556,49303.4,47148.2
2019.2465753424656,2019.328767123288,0.0907,0.0976,49303.4,47148.2
2019.328767123288,2019.4136986301369,0.0865,0.0808,49303.4,47148.2
2019.4136986301369,2019.495890410959,-0.0039,0.1998,49303.4,47148.2
2019.495890410959,2019.580821917808,-0.2953,0.2972,49303.4,47148.2
2019.580821917808,2019.6657534246576,-0.4343,0.2541,49303.4,47148.2
2019.6657534246576,2019.74794520548,-0.1376,0.2258,49303.4,47148.2
2019.74794520548,2019.8328767123287,0.0547,0.0551,49303.4,47023.5
2019.8328767123287,2019.9150684931508,0.0392,0.0468,49303.4,47023.5
2019.9150684931508,2020.0,0.038,0.0515,49303.4,47023.5
2020.0,2020.084699453552,0.0367,0.0476,49303.4,47023.5
2020.084699453552,2020.1639344262296,0.0486,0.0584,49303.4,47023.5
2020.1639344262296,2020.2486338797808,0.0698,0.0751,49303.4,47023.5
2020.2486338797808,2020.330601092896,0.0779,0.0646,49303.4,47023.5
2020.330601092896,2020.415300546448,0.0965,0.0656,49303.4,47023.5
2020.415300546448,2020.4972677595629,0.0654,0.1748,49303.4,47023.5
2020.4972677595629,2020.5819672131147,-0.1969,0.2316,49303.4,47023.5
2020.5819672131147,2020.6666666666667,-0.2617,0.2314,49303.4,47023.5
2020.6666666666667,2020.7486338797808,0.032,0.1617,49303.4,47023.5
2020.7486338797808,2020.8333333333333,0.0545,0.0551,49303.4,46827.2
2020.8333333333333,2020.915300546448,0.0391,0.0468,49303.4,46827.2
2020.915300546448,2021.0,0.0379,0.0515,49303.4,46827.2
2021.0,2021.0849315068488,0.0365,0.0476,49303.4,46827.2
2021.0849315068488,2021.1616438356164,0.0485,0.0584,49303.4,46827.2
2021.1616438356164,2021.2465753424656,0.0696,0.0751,49303.4,46827.2
2021.2465753424656,2021.328767123288,0.0777,0.0646,49303.4,46827.2
2021.328767123288,2021.4136986301369,0.0964,0.0656,49303.4,46827.2
2021.4136986301369,2021.495890410959,-0.109,0.1696,49303.4,46827.2
2021.495890410959,2021.580821917808,-0.3709,0.2302,49303.4,46827.2
2021.580821917808,2021.6657534246576,-0.4356,0.2396,49303.4,46827.2
2021.6657534246576,2021.74520547945,-0.1425,0.1833,49303.4,46827.2
